"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","DSC_TIPO_PENAL","ANO","MES","NUM_AUDIENCIAS"
N,PR,,,,9032
S,PE,,2016,4,11
S,,,2017,11,176
N,,,,,30990
N,PR,,1997,9,3
N,PI,,2016,4,75
N,PR,,2012,12,3
S,PR,,2016,2,14
N,PR,,1970,6,1
N,AC,,,,419
N,MA,,2016,1,122
N,GO,,2017,4,455
N,,,2015,7,26
N,PR,,1980,11,1
N,MA,,2013,1,2
N,AP,,2016,3,108
N,PR,,2019,2,951
N,MA,,2015,10,63
N,MA,,2015,2,42
N,PA,,2015,7,3
N,MA,,2012,2,1
N,RO,,2010,12,3
N,RO,,2017,5,209
N,SP,ASSOCIAÇAO CRIMINOSA,,,116
N,RO,,2016,5,327
S,PR,,2016,5,63
S,BA,,2016,5,25
N,SP,,2018,3,4227
S,RS,,2016,5,12
N,PB,,2016,4,24
N,PR,,2015,4,7
N,DF,,1998,4,1
N,SP,,2017,11,6350
N,BA,,,,534
S,AC,,2016,5,13
S,DF,,,,6
N,,,2006,12,2
N,SP,,1998,3,1
N,PB,,2015,5,4
N,PB,,2014,12,4
N,PB,,2011,5,2
N,,,2019,5,4198
N,PR,,2017,3,1195
N,MA,,2016,8,151
S,AP,,2015,5,1
N,MA,,2014,12,3
N,PI,,2016,6,85
N,SE,,2016,7,128
N,,,2016,7,1295
N,RO,,2015,10,8
N,BA,,1995,1,1
S,PR,,1980,10,1
N,,,2012,12,6
N,,,1984,2,2
N,MA,,1989,7,1
N,PR,,2013,8,7
N,,,2013,6,2
N,PR,,2010,6,3
N,DF,,1938,12,1
N,RS,,2016,7,125
S,BA,,2016,7,37
N,DF,,2016,7,363
N,SC,,1998,1,1
N,MA,,2016,7,137
N,GO,,2016,7,417
S,GO,,,,107
N,,,2014,2,4
N,DF,,1982,10,1
N,PR,,2000,7,1
N,RO,,2014,11,5
S,SP,,1997,2,1
N,RO,,2010,4,4
N,PB,,2007,8,1
S,SE,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2016,7,1
N,RS,,2014,12,9
N,PR,,1998,6,2
N,RO,,2010,7,1
N,SP,,1993,9,4
S,AC,,2016,8,14
S,AP,,2016,8,2
N,,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",,,26228
N,,,2010,2,8
N,,,1996,11,4
N,,,2014,8,5
S,MA,,2016,8,4
N,PA,,1997,6,1
N,GO,,2016,9,500
N,PR,,2016,9,1350
N,TO,,2016,9,22
N,SC,,2016,9,283
S,TO,,2016,9,4
N,RO,,2013,2,2
S,AC,,2016,9,8
N,PE,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,,,303
S,SP,,2016,9,13
N,PB,,2013,7,2
S,PB,,2016,9,8
N,,,2016,10,2692
N,,CONTRABANDO,2016,9,1
S,TO,,2015,1,1
N,PR,,1996,4,2
N,DF,,2016,10,260
S,RO,,2016,10,27
N,,,2008,12,1
S,MA,,2016,10,6
N,RO,,2010,3,1
S,SE,,2016,10,6
N,PB,,2013,1,5
N,BA,,2015,10,2
S,AP,,2016,10,1
S,PR,,2016,11,37
N,MT,,2016,11,76
N,AP,,2016,11,72
N,PR,,1996,6,1
N,PR,,1999,10,1
N,SP,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2016,10,1
N,PB,,2014,4,5
N,,,1965,10,1
S,RO,,2016,11,22
N,BA,,2014,11,2
N,PA,,1997,11,1
S,AP,,2016,11,5
N,RS,,2008,10,2
N,AP,,2016,12,39
S,PR,,2016,12,36
N,GO,,2016,12,313
N,BA,,2016,12,152
N,PB,,1987,8,1
N,PB,,2007,1,1
N,SP,,1995,6,2
N,,,2013,12,3
N,GO,,1993,9,1
S,RS,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",2019,10,1
N,,FURTO SIMPLES,2016,11,2
N,,,1995,7,5
N,RO,,2012,6,1
S,MT,,2016,12,2
N,AC,,1993,5,1
S,PI,,2017,1,22
N,PA,,2017,1,577
S,SP,,2017,1,71
N,RO,,2002,4,1
S,GO,,2014,1,1
N,,,2010,9,4
N,PR,,2010,7,2
N,,,2011,1,4
N,SP,,1989,9,2
N,PB,,1990,6,2
N,RO,,2010,10,1
N,,,2009,7,8
S,AC,,2016,1,1
N,MA,,2017,9,195
N,PR,,2018,7,1218
N,AC,,2017,2,157
N,GO,,2017,2,499
S,PB,,2017,2,8
N,PR,,1994,5,1
S,SC,,2017,2,29
N,SE,,2017,8,176
N,PR,,2014,2,2
N,PR,,2015,3,11
N,SP,,1963,6,1
N,GO,,1998,8,1
N,PB,,2006,3,1
N,,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2017,2,2
N,,,2009,3,8
N,PR,,2013,5,4
N,RS,,2014,2,3
S,PE,,2017,2,5
N,PR,,2012,11,4
N,RS,,2017,4,190
N,PR,,2009,7,1
