"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","ANO","MES","NUM_AUDIENCIAS"
N,AC,2015,11,1
N,PR,2015,9,72
N,AC,2016,4,96
N,RO,2011,12,5
S,,2016,4,13
N,PR,2015,6,16
S,,2015,12,4
N,PR,2016,1,596
N,MA,2015,12,58
S,MA,2015,12,1
N,MA,2016,1,122
N,MA,,,2309
N,MA,2015,7,129
S,,2016,3,13
N,MA,2015,4,47
N,RO,2013,11,11
N,AC,2016,6,144
N,MA,1989,12,1
N,RJ,2016,4,1
S,PI,,,97
N,,2009,12,11
N,RO,2008,2,2
N,,2015,5,53
N,PR,1984,1,3
N,BA,2016,5,243
N,RO,2012,5,2
N,PA,2018,3,637
N,AP,2016,5,109
N,GO,2016,5,34
S,RS,2016,5,12
N,SP,2016,2,9
N,RS,2015,8,5
S,TO,2016,4,7
N,RO,2013,4,7
N,DF,1998,4,1
N,PR,2011,4,4
N,BA,2015,9,178
N,SP,2017,6,2710
N,,2009,9,9
N,RO,2003,4,2
N,MG,2016,5,117
N,PA,2015,9,4
S,MG,2016,5,16
N,PR,2010,10,3
N,,2019,5,4510
N,,2014,12,37
N,SP,1998,1,2
N,MA,2014,11,53
N,DF,2016,8,262
N,,1987,2,2
N,RO,2012,11,5
N,AP,2016,6,94
N,PI,2016,6,85
S,PI,2016,6,21
N,SP,2019,9,4969
S,PB,2016,6,14
N,,2011,5,12
N,PR,2012,8,6
N,PB,2013,9,4
N,PR,1990,7,1
N,,1991,7,3
N,,2012,12,26
N,MA,1993,11,1
N,,1988,8,3
N,PR,2013,8,7
N,PR,1995,9,1
N,PA,2016,7,625
N,TO,2016,7,23
N,BA,2015,6,2
N,,1994,2,4
N,RO,2009,5,2
N,,1984,7,3
S,PE,2016,7,1
N,,2004,9,6
N,SP,1985,1,3
N,RO,2013,10,5
N,,2006,10,9
S,MG,2016,7,2
N,,1989,2,4
N,SP,1989,11,4
N,,2015,3,43
N,AP,2016,8,64
N,RO,2006,9,1
N,RO,2005,3,2
S,AP,2016,8,2
N,,2021,7,4863
N,AP,2018,2,59
N,PB,2014,1,4
N,PB,2019,7,212
N,PA,2008,7,2
N,BA,2016,9,178
N,TO,2016,9,22
N,RO,2013,2,2
S,AC,2016,9,8
N,PR,2013,1,14
S,SE,2016,9,5
N,RO,2006,12,3
N,PA,2017,10,639
N,SP,2018,5,4742
S,PR,2016,10,58
N,RS,2013,10,2
N,PB,2013,2,5
S,,2016,10,105
N,GO,1982,5,1
N,PB,2016,10,213
S,RS,2016,10,20
N,,2008,12,11
S,PR,2019,6,40
N,,2008,5,8
N,,2010,10,17
S,AL,2016,10,1
N,SP,2019,8,4723
S,GO,2016,11,108
N,SP,1995,9,2
S,SE,2016,11,3
N,TO,2016,11,23
N,,2022,12,3399
N,PR,2017,11,1273
N,,1992,5,6
N,SP,1973,3,1
S,AP,2016,11,5
S,PR,2016,12,36
S,PB,2016,12,8
S,PI,2016,12,20
N,PB,2013,5,3
S,,2016,12,118
S,RS,2016,12,8
S,SC,2016,12,26
N,PB,1988,5,1
N,AL,2016,12,20
S,PR,2019,11,50
N,SP,2019,1,4976
N,DF,2015,12,2
N,,2020,1,6170
N,RO,2017,1,312
N,PR,2017,1,890
S,TO,2017,1,8
N,RS,2017,1,161
N,MG,2016,12,26
N,GO,2018,10,541
N,BA,2016,1,2
N,AP,2017,1,41
S,SC,2017,1,16
S,GO,2014,1,1
N,PA,2014,1,1
N,PI,2016,1,2
N,PA,2016,1,5
N,,2011,1,16
N,PR,1997,5,2
N,PR,2013,7,6
N,PB,2014,11,2
N,RO,2005,2,2
N,,1975,6,3
S,SP,2017,2,108
N,GO,2017,2,499
N,,2001,9,6
S,PB,2017,2,8
N,MA,2017,2,170
S,PA,2017,2,64
N,AL,2017,2,75
N,GO,1997,4,1
N,SP,2010,2,2
N,PB,2018,2,250
N,PR,2012,11,5
N,RS,2017,4,194
N,,2018,4,4127
N,,1992,7,4
N,GO,2017,3,548
N,RO,2017,3,339
S,BA,1995,6,1
N,,1953,8,2
N,PR,1990,4,1
S,GO,2017,3,104
N,PR,2002,1,1
N,PR,2013,3,3
N,AL,2017,3,19
N,TO,2017,3,15
N,RS,2011,4,2
S,BA,2017,4,67
N,RO,2017,4,227
S,TO,2017,3,7
N,PE,2017,4,144
N,,1994,1,2
N,RO,2012,10,7
N,SC,1998,8,1
S,RS,2017,4,12
S,MA,2017,4,1
S,AL,2017,4,5
N,SP,2018,7,4537
N,GO,2017,6,522
N,PR,2004,6,2
S,SC,2017,9,13
N,BA,1978,3,1
N,AC,2015,5,2
S,MA,2017,5,4
S,PE,2017,5,2
N,TO,2017,5,25
N,PB,2014,10,2
S,TO,2017,5,5
N,,1960,1,1
N,PA,2015,12,2
N,MA,2019,2,175
N,BA,2010,5,1
N,PR,2009,8,1
S,CE,2017,5,19
S,GO,2017,6,84
S,CE,2017,6,51
S,,2017,6,115
S,MG,2017,6,6
N,,2001,6,7
N,PR,2018,3,1340
N,RS,2014,1,9
N,,1985,9,7
N,RS,2017,7,144
N,SC,1970,11,1
N,PR,2009,6,1
N,,1987,3,5
N,PE,2017,8,180
N,CE,2002,10,1
N,PR,1977,8,1
N,PR,2002,8,3
N,CE,2016,1,6
N,AP,2017,8,103
S,SC,2017,8,23
N,,1986,4,3
N,MT,2017,8,314
N,,2006,1,9
N,GO,1963,9,1
N,PA,2017,9,540
S,,2017,9,122
N,PI,2017,9,59
S,MA,2017,9,22
S,AL,2017,9,5
N,TO,2017,9,24
N,BA,2014,9,1
N,MT,2014,1,5
N,MT,2011,1,2
N,PR,1983,9,1
N,PI,2017,10,95
N,PB,2005,3,1
S,PR,2017,10,39
N,RS,2017,10,185
N,DF,2017,10,108
S,SC,2017,10,9
S,MG,2017,10,8
N,SP,2010,10,5
S,TO,2017,10,1
N,PB,2014,6,1
N,PA,1998,7,1
N,CE,1999,1,3
N,SP,2015,1,4
N,MG,1986,4,1
N,PA,2012,10,1
N,CE,1993,3,2
N,SE,2017,11,342
N,MT,1993,8,1
N,SC,2017,11,257
